rid,Q56,Q57,Q58,Q59,Q60,Q61,Q62,Q63,Q1,Q2,Q3,Q4,Q64
e5e3bc6f-fc3f-4eb3-a94d-be124d7f941e,39,1.0,United Kingdom,,United Kingdom,,Back-end Developer,Sometimes,0,26-100,1.0,,e5e3bc6f-fc3f-4eb3-a94d-be124d7f941e
6463bb06-9d98-44e6-b43a-242cd47f8b14,29,1.0,United States of America,Illinois,United States of America,Illinois,Back-end Developer/Front-end Developer,Never,0,6-25,1.0,,6463bb06-9d98-44e6-b43a-242cd47f8b14
14972c0b-683e-47a2-bc42-870b2a60a025,38,1.0,United Kingdom,,United Kingdom,,Back-end Developer,Always,0,6-25,1.0,,14972c0b-683e-47a2-bc42-870b2a60a025
c337100b-b2df-4801-b1e6-578cc999a23a,43,1.0,United Kingdom,,United Kingdom,,Supervisor/Team Lead,Sometimes,1,,,,c337100b-b2df-4801-b1e6-578cc999a23a
9db41c86-8a2c-45dd-bd5e-eea7fd7d211e,43,0.0,United States of America,Illinois,United States of America,Illinois,Executive Leadership/Supervisor/Team Lead/Dev Evangelist/Advocate/DevOps/SysAdmin/Support/Back-end Developer/Front-end Developer,Sometimes,0,6-25,0.0,1.0,9db41c86-8a2c-45dd-bd5e-eea7fd7d211e
b74c8df2-f945-44ea-bdc6-794ff5a66152,42,1.0,United Kingdom,,United Kingdom,,DevOps/SysAdmin/Support/Back-end Developer/Front-end Developer/Designer,Sometimes,0,More than 1000,1.0,,b74c8df2-f945-44ea-bdc6-794ff5a66152
5ff14a72-db90-49fa-9855-b02f0cbcb0be,30,1.0,United States of America,Tennessee,United States of America,Tennessee,Back-end Developer,Sometimes,0,26-100,1.0,,5ff14a72-db90-49fa-9855-b02f0cbcb0be
c508d7e5-e7b7-4388-ab71-3466b89a1820,37,0.0,United States of America,Virginia,United States of America,Virginia,Dev Evangelist/Advocate/Back-end Developer,Always,0,More than 1000,1.0,,c508d7e5-e7b7-4388-ab71-3466b89a1820
c5bc1caa-96be-4fda-913c-100a2aadb8ec,44,0.0,United States of America,California,United States of America,California,Support/Back-end Developer/One-person shop,Sometimes,0,26-100,0.0,1.0,c5bc1caa-96be-4fda-913c-100a2aadb8ec
1b3264b5-c473-41f1-a6a0-2213ec413e38,30,1.0,United States of America,Kentucky,United States of America,Kentucky,One-person shop/Front-end Developer/Back-end Developer,Always,1,,,,1b3264b5-c473-41f1-a6a0-2213ec413e38
47bf88ad-011d-4350-9951-1808ab01e053,28,1.0,United States of America,Oregon,United States of America,Oregon,Front-end Developer,Never,0,26-100,1.0,,47bf88ad-011d-4350-9951-1808ab01e053
48be6658-b095-490a-ae7d-a803fbb486d9,34,1.0,United States of America,Pennsylvania,United States of America,Pennsylvania,Executive Leadership,Sometimes,0,100-500,0.0,1.0,48be6658-b095-490a-ae7d-a803fbb486d9
f4d6e40b-d28b-437e-ab13-254f4f91cb14,30,0.0,United States of America,New Jersey,United States of America,New Jersey,Supervisor/Team Lead/Dev Evangelist/Advocate/Back-end Developer/Front-end Developer,Always,0,100-500,1.0,,f4d6e40b-d28b-437e-ab13-254f4f91cb14
2428be45-ec81-4307-9777-5f561ee2dfa5,44,1.0,Canada,,Canada,,DevOps/SysAdmin/Back-end Developer/Front-end Developer,Sometimes,0,100-500,0.0,1.0,2428be45-ec81-4307-9777-5f561ee2dfa5
ee874015-461d-48d8-81c4-65257095b339,35,1.0,United States of America,Georgia,United States of America,Georgia,Designer,Always,0,100-500,1.0,,ee874015-461d-48d8-81c4-65257095b339
385b2fd3-0e27-4198-835a-a65914064441,52,1.0,United States of America,Oregon,United States of America,Oregon,Other/Executive Leadership,Sometimes,0,100-500,1.0,,385b2fd3-0e27-4198-835a-a65914064441
79042045-9790-4d6e-99fd-00dda83c1e18,32,0.0,Canada,,Canada,,Front-end Developer,Always,0,26-100,1.0,,79042045-9790-4d6e-99fd-00dda83c1e18
57e22ebb-eaae-47c6-893b-6d44f9d28cb1,34,1.0,United Kingdom,,United Kingdom,,Back-end Developer,Never,0,500-1000,1.0,,57e22ebb-eaae-47c6-893b-6d44f9d28cb1
c79eb69a-c79d-43c9-ac09-b8a8c9851373,25,0.0,United States of America,Washington,United States of America,Washington,One-person shop,Always,1,,,,c79eb69a-c79d-43c9-ac09-b8a8c9851373
d4e98095-a855-4bdc-ab55-448b6251904e,31,1.0,United States of America,New Jersey,United States of America,New York,Back-end Developer/Front-end Developer,Sometimes,0,100-500,0.0,1.0,d4e98095-a855-4bdc-ab55-448b6251904e
51b42b01-772b-46ea-bf1d-fb1784f384ad,26,1.0,United States of America,New York,United States of America,New York,Back-end Developer,Sometimes,0,6-25,1.0,,51b42b01-772b-46ea-bf1d-fb1784f384ad
d477cd90-a986-41ce-8e7a-4b0e9664cf02,35,1.0,United States of America,Indiana,United States of America,Indiana,Other,Never,0,More than 1000,0.0,1.0,d477cd90-a986-41ce-8e7a-4b0e9664cf02
cd7b15de-93eb-411f-9821-92cd71bfc700,25,1.0,Germany,,Germany,,Back-end Developer,Sometimes,0,26-100,1.0,,cd7b15de-93eb-411f-9821-92cd71bfc700
71ec96c1-a4cb-4022-9583-f7f226feee0b,33,1.0,Canada,,Canada,,Back-end Developer,Sometimes,0,1-5,1.0,,71ec96c1-a4cb-4022-9583-f7f226feee0b
ffed3afc-7888-4713-b8a5-9cee60d54a48,38,1.0,United States of America,New York,United States of America,New York,Supervisor/Team Lead,Sometimes,1,,,,ffed3afc-7888-4713-b8a5-9cee60d54a48
2bb86714-eeac-4c89-89e1-82521471338b,42,1.0,Germany,,Germany,,Supervisor/Team Lead/Support/Back-end Developer,Never,0,100-500,0.0,1.0,2bb86714-eeac-4c89-89e1-82521471338b
243d97fd-24f9-488c-a4b4-dfd73b1d11e8,27,1.0,Netherlands,,Netherlands,,Supervisor/Team Lead/DevOps/SysAdmin/Back-end Developer,Sometimes,0,26-100,0.0,1.0,243d97fd-24f9-488c-a4b4-dfd73b1d11e8
e04aa8dc-d016-4e4d-87af-601072671bf7,35,1.0,Germany,,Germany,,Back-end Developer,Never,0,100-500,1.0,,e04aa8dc-d016-4e4d-87af-601072671bf7
6f18ea7b-3f5c-4373-a25f-45b00a5ad2d4,34,0.0,United Kingdom,,United Kingdom,,Other,Never,0,500-1000,0.0,1.0,6f18ea7b-3f5c-4373-a25f-45b00a5ad2d4
4cdc993b-103d-4bad-ad32-6f0b9413ca22,32,0.5,United Kingdom,,United Kingdom,,Other/Supervisor/Team Lead/Support/Back-end Developer/Designer,Never,0,6-25,1.0,,4cdc993b-103d-4bad-ad32-6f0b9413ca22
59608e7f-a54c-4dc1-89d5-77b7ab966d64,32,0.5,Germany,,Germany,,Back-end Developer,Never,0,100-500,1.0,,59608e7f-a54c-4dc1-89d5-77b7ab966d64
c8c13c6c-68d1-4303-a338-91fa56c691e9,30,1.0,United States of America,New York,United States of America,New York,Supervisor/Team Lead/Back-end Developer,Sometimes,0,100-500,1.0,,c8c13c6c-68d1-4303-a338-91fa56c691e9
e584e9bf-5781-452a-9c7c-cdc648114041,31,1.0,United States of America,Minnesota,United States of America,Minnesota,One-person shop/Front-end Developer/Back-end Developer/Dev Evangelist/Advocate/Other,Never,0,More than 1000,1.0,,e584e9bf-5781-452a-9c7c-cdc648114041
7b456b61-1376-416e-9da8-70ab67d23ce8,37,1.0,Czech Republic,,Czech Republic,,Back-end Developer/Front-end Developer,Sometimes,1,,,,7b456b61-1376-416e-9da8-70ab67d23ce8
c8ef0ef0-d470-4f15-90af-b1534080d5f6,36,1.0,United Kingdom,,United Kingdom,,Supervisor/Team Lead/DevOps/SysAdmin/Support/Back-end Developer,Sometimes,0,26-100,1.0,,c8ef0ef0-d470-4f15-90af-b1534080d5f6
c6b15c07-2aac-4ea6-96cf-628213fe91a2,33,1.0,Germany,,Germany,,Executive Leadership/Front-end Developer/Back-end Developer/Sales/Supervisor/Team Lead,Never,0,100-500,1.0,,c6b15c07-2aac-4ea6-96cf-628213fe91a2
d61fb19f-4c59-4f99-b7e0-1ef494eb437b,44,1.0,United States of America,Washington,United States of America,Washington,Back-end Developer,Always,0,26-100,1.0,,d61fb19f-4c59-4f99-b7e0-1ef494eb437b
2880f339-f96c-469c-ac16-53043a8dfd65,29,1.0,United Kingdom,,United Kingdom,,Front-end Developer,Never,0,100-500,1.0,,2880f339-f96c-469c-ac16-53043a8dfd65
9d86383c-2a7e-43c1-8c43-0aba40a924d3,29,1.0,United Kingdom,,United Kingdom,,Back-end Developer,Sometimes,0,100-500,1.0,,9d86383c-2a7e-43c1-8c43-0aba40a924d3
2f179444-76ef-4a68-aa63-53cbb63c04b3,44,1.0,Canada,,Canada,,Support/Other,Always,0,More than 1000,1.0,,2f179444-76ef-4a68-aa63-53cbb63c04b3
896d8b0e-1ebc-445c-952e-de3198bfc627,34,1.0,United States of America,Georgia,United States of America,Georgia,One-person shop/Back-end Developer/DevOps/SysAdmin,Sometimes,1,,,,896d8b0e-1ebc-445c-952e-de3198bfc627
